slug,bits,axis,dim,size_mb,tok_s,ndcg12
int2-row-512,2,row,512,4.03,9013426.0,0.41951207489879466
int2-row-1024,2,row,1024,7.94,8318109.0,0.4184880623202984
int4-dim-128,4,dim,128,1.95,9425513.0,0.4312344617983455
int4-dim-256,4,dim,256,3.91,9473004.0,0.44980238672468387
int4-dim-512,4,dim,512,7.82,9033115.0,0.46294087503225123
int4-row-512,4,row,512,7.94,8757383.0,0.46966223509589294
int4-dim-1024,4,dim,1024,15.63,8557591.0,0.46577729533277373
int8-dim-128,8,dim,128,3.91,9732201.0,0.43898705110157676
int8-dim-256,8,dim,256,7.82,9383756.0,0.4624283544237608
int8-row-256,8,row,256,7.94,9440706.0,0.46232367751954895
int8-dim-512,8,dim,512,15.63,9047456.0,0.4699881600245482
int8-dim-1024,8,dim,1024,31.26,8430565.0,0.4747200099432962
fp32-dim-64,32,dim,64,7.81,9671980.0,0.41477374066410094
fp32-dim-128,32,dim,128,15.63,9521761.0,0.44024854216298565
fp32-dim-256,32,dim,256,31.25,9317021.0,0.46241073852653547
fp32-dim-512,32,dim,512,62.51,8805278.0,0.4697478778119047
fp32-dim-1024,32,dim,1024,125.02,7545581.0,0.4749264413160934
