variant,dim,size_mb,wall_s,docs_per_s,tokens_per_s,embed_us_per_doc
fp32-dim-1024,,125.02,1.970,2538,7545581,83.60
fp32-dim-128,,15.63,1.561,3203,9521761,6.80
fp32-dim-256,,31.25,1.595,3134,9317021,14.60
fp32-dim-512,,62.51,1.688,2962,8805278,33.60
fp32-dim-64,,7.81,1.537,3254,9671980,4.40
int2-row-1024,,7.94,1.787,2798,8318109,53.60
int2-row-512,,4.03,1.649,3032,9013426,27.20
int4-dim-1024,,15.63,1.737,2879,8557591,47.20
int4-dim-128,,1.95,1.577,3171,9425513,6.20
int4-dim-256,,3.91,1.569,3187,9473004,12.00
int4-dim-512,,7.82,1.645,3039,9033115,26.60
int4-row-512,,7.94,1.697,2946,8757383,33.60
int8-dim-1024,,31.26,1.763,2836,8430565,52.40
int8-dim-128,,3.91,1.527,3274,9732201,4.80
int8-dim-256,,7.82,1.584,3157,9383756,14.00
int8-dim-512,,15.63,1.643,3044,9047456,24.80
int8-row-256,,7.94,1.574,3176,9440706,15.00
